date,price,slug,question
2023-12-30 00:00:00+00:00,0.365,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2023-12-31 00:00:00+00:00,0.295,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-01 00:00:00+00:00,0.295,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-02 00:00:00+00:00,0.275,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-03 00:00:00+00:00,0.28,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-04 00:00:00+00:00,0.245,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-05 00:00:00+00:00,0.245,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-06 00:00:00+00:00,0.195,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-07 00:00:00+00:00,0.165,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-08 00:00:00+00:00,0.14,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-09 00:00:00+00:00,0.145,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-10 00:00:00+00:00,0.5,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-11 00:00:00+00:00,0.27,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-12 00:00:00+00:00,0.125,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-13 00:00:00+00:00,0.125,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-14 00:00:00+00:00,0.12,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-15 00:00:00+00:00,0.12,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-16 00:00:00+00:00,0.12,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-17 00:00:00+00:00,0.255,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-18 00:00:00+00:00,0.325,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-19 00:00:00+00:00,0.225,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-20 00:00:00+00:00,0.225,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-21 00:00:00+00:00,0.175,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-22 00:00:00+00:00,0.15,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-23 00:00:00+00:00,0.075,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-24 00:00:00+00:00,0.055,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-25 00:00:00+00:00,0.03,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-26 00:00:00+00:00,0.03,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-27 00:00:00+00:00,0.025,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-28 00:00:00+00:00,0.03,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-29 00:00:00+00:00,0.0475,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-30 00:00:00+00:00,0.158,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-01-31 00:00:00+00:00,0.121,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
2024-02-01 00:00:00+00:00,0.011,soleth-new-high-by-jan-31,SOL/ETH new high by Jan 31?
